Organization,Occurrence
"HA-VEL-LOCAL-AS Czech republic, CZ",3
"HTP-AS, DE",3
"IWAY, CH",3
"TPNET, PL",3
"CABLENET-AS, CY",3
"HURRICANE, US",3
"WEBDISCOUNT, DE",3
"INIT7, CH",3
"VFNL-AS Vodafone NL Autonomous System, NL",2
"TTI-NET, RO",2
"ROSTELECOM-AS, RU",2
"TISCALI-UK TalkTalk Communications Limited, GB",2
"ORIONTELEKOM-AS, RS",2
"SUPERNETWORK ^_^, CZ",2
"TEKNIKBYRAN, SE",2
"PLUSNET UK Internet Service Provider, GB",2
"PODA-AS, CZ",2
"SSPOY-AS, FI",2
"A1, BG",2
"NETHINKS-AS NETHINKS GmbH, DE",2
"KABELFOON DELTA Fiber Nederland, NL",2
"DNIC-AS-00749, US",2
"DE-DGW Deutsche Glasfaser Wholesale Internet, DE",2
"CITYNET-AT-AS, AT",2
"NCNET-AS, RU",2
"H3GUK, GB",2
"IDNET IDNet, GB",2
"INTELECA-AS Russia, Barnaul, RU",2
"CETIN_DOO_AS CETINdoo-NET, RS",2
"IP-OSTERAKER, SE",2
"BTN-ASN, US",2
"BARNAUL-AS, RU",2
"BENESOL-BACKBONE International Backbone, BE",2
"KORVESNET, DE",2
"LEVEL3, US",2
"ALTIBOX_AS Norway, NO",2
"ARUBA-ASN, IT",2
"MF-MGSM-AS PJSC MegaFon, RU",2
"MEER-AS meerfarbig GmbH & Co. KG, DE",2
"DNSNET German Internet Service Providers, DE",2
"CENTRONETAS Czech Republic, CZ",1
"TMOBILE-THUIS, NL",1
"ASN-ORANGE-ROMANIA, RO",1
"UGR-AS, BE",1
"ASN-MGTS-USPD, RU",1
"AS_BUBAKOV, CZ",1
"TMO-NL-AS, NL",1
"ASN-BICS, BE",1
"BITE Bite IP Network, LT",1
"BENJOJONET, GB",1
"EIRCOM Internet House, IE",1
"UNI2-AS, ES",1
"UMC-AS, UA",1
"GLOBALCONNECT-AS42525, DK",1
"ERTH-TRANSIT-AS, RU",1
"JURASSIC-FIBRE, GB",1
"MR-SIB-MTSAS MR Sibir, RU",1
"MIX2_OPENPEERING Orange Polska Internet.OptimumMIX2 Tier-2 services, PL",1
"PARKNET-AS, DK",1
"A1BG A1 EAD, BG",1
"PROXAD, FR",1
"KMENET, CZ",1
"KARIO-SAT, PL",1
"QUICKLINE Quickline AG, CH",1
"SALT-, CH",1
"JMNET, CZ",1
"GAMSJAEGER Unterauerstrasse 7, AT",1
"SOVAM-AS, RU",1
"ITCNG ITC Internet Service Provider, IL",1
"ISPALLIANCE, CZ",1
"STWIMST, AT",1
"IPO-EU, SE",1
"SWISSCOM Swisscom Switzerland Ltd, CH",1
"TANET, CZ",1
"GIGACLEAR, GB",1
"GIGABIT-, DK",1
"XTRA Telecom, ES",1
